Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,N,62.0,48.0,52.48,75.0,53.0,64.0,0.0,0.1,W,20.0,15.0,Cloudy,0
Uncrewed,N,69.0,41.0,54.26,75.0,53.0,64.0,0.0,0.1,W,9.0,10.0,Fair,0
Uncrewed,N,79.0,0.0,65.93,84.0,65.0,75.0,0.08,0.07,NE,21.0,10.0,Cloudy,0
Uncrewed,N,82.0,64.0,73.58,82.0,64.0,73.58,0.0,0.09,NE,21.0,7.0,Fair,0
Uncrewed,Y,83.0,68.0,75.45,82.0,64.0,75.0,0.0,0.08,E,15.0,8.0,Partly Cloudy,1
Uncrewed,N,91.0,68.0,79.58,85.0,66.0,75.0,0.0,0.08,NE,16.0,10.0,Cloudy,0
Uncrewed,N,95.0,0.0,74.5,85.0,66.0,75.0,0.12,0.09,W,15.0,7.0,Rain,0
Uncrewed,N,89.0,0.0,61.23,87.0,70.0,79.0,0.21,0.15,SW,14.0,10.0,T-Storm,0
Uncrewed,N,93.0,70.0,80.46,88.0,70.0,79.0,0.03,0.16,SE,15.0,15.0,Cloudy,0
Uncrewed,Y,90.0,75.0,82.88,88.0,70.0,79.0,0.0,0.16,S,17.0,7.0,Fair,1
Uncrewed,N,90.0,77.0,82.83,88.0,70.0,79.0,0.0,0.16,SW,17.0,10.0,Cloudy,0
Uncrewed,N,90.0,76.0,82.39,88.0,70.0,79.0,0.0,0.19,S,23.0,10.0,Partly Cloudy,0
Uncrewed,N,75.0,55.0,65.43,71.0,50.0,61.0,0.0,0.07,E,15.0,10.0,Fair,0
Uncrewed,N,79.0,70.0,73.71,71.0,50.0,60.0,0.11,0.07,SE,17.0,7.0,Rain,0
Uncrewed,Y,75.0,59.0,67.96,71.0,50.0,60.0,0.0,0.07,SW,21.0,10.0,Cloudy,1
Uncrewed,N,57.0,43.0,50.82,71.0,49.0,60.0,0.0,0.07,NW,17.0,10.0,Fair,0
Uncrewed,N,52.0,36.0,43.14,71.0,49.0,60.0,0.0,0.07,W,16.0,10.0,Fair,0
Uncrewed,N,66.0,52.0,60.15,79.0,61.0,70.0,0.0,0.11,N,20.0,10.0,Fair,0
Uncrewed,N,76.0,68.0,71.57,77.0,57.0,67.0,0.0,0.07,E,18.0,10.0,Cloudy,0
Uncrewed,Y,78.0,71.0,73.87,77.0,57.0,67.0,0.0,0.09,E,18.0,10.0,Cloudy,1
Uncrewed,N,79.0,72.0,74.52,77.0,57.0,67.0,0.0,0.09,SE,15.0,10.0,Fair,0
Uncrewed,N,81.0,61.0,71.13,76.0,57.0,67.0,0.0,0.09,S,17.0,10.0,Cloudy,0
Uncrewed,N,81.0,71.0,75.35,78.0,59.0,69.0,0.0,0.09,SE,13.0,10.0,Cloudy,0
Uncrewed,N,83.0,73.0,77.43,78.0,59.0,69.0,0.0,0.09,SE,16.0,10.0,Fair,0
Uncrewed,Y,86.0,69.0,76.39,78.0,59.0,69.0,0.0,0.08,W,9.0,10.0,Fair,1
Uncrewed,N,80.0,69.0,73.14,78.0,59.0,68.0,0.0,0.08,N,14.0,10.0,Cloudy,0
Uncrewed,N,78.0,70.0,73.43,78.0,58.0,68.0,0.0,0.07,SW,17.0,10.0,Cloudy,0
Uncrewed,N,88.0,75.0,79.82,91.0,73.0,82.0,0.0,0.24,N,15.0,10.0,Cloudy,0
Uncrewed,N,93.0,76.0,83.52,91.0,73.0,82.0,0.0,0.23,S,12.0,10.0,Fair,0
Uncrewed,Y,94.0,75.0,83.91,91.0,73.0,82.0,0.0,0.23,W,12.0,10.0,Fair,1
